Test Summary
Block per die: ,200
Total VB (single unit) pages: ,36
Total Pages: ,7200
OP Size: ,7
Host write range: ,6728
Total Erase Count is: ,65921
Max Erase Count: ,1126
Min Erase Count: ,0
Avg Erase Count: ,329.605000
Total GC Count is: ,29571
Total Segmental GC Count is: ,49972
Total WL Count is: ,11630
WAF is: ,11.386905

VB No,Valid Count,Erase Count
199,5125,5125,30,435,1
200,5790,5790,36,435,1
201,4036,4036,36,435,1
202,6036,6036,32,435,1
203,5862,5862,19,435,1
204,470,470,30,435,1
205,5583,5583,30,435,1
206,4477,4477,33,435,1
207,2527,2527,39,435,1
208,6493,6493,32,435,1
209,889,889,27,435,1
210,2418,2418,26,435,1
211,4964,4964,32,435,1
212,2182,2182,27,434,1
213,4373,4373,31,375,1
214,4523,4523,41,325,1
215,2337,2337,37,293,1
216,2479,2479,37,368,1
217,1632,1632,30,368,1
218,4850,4850,28,368,1
219,3195,3195,31,368,1
220,6368,6368,20,368,1
221,3008,3008,24,368,1
222,1624,1624,24,368,1
223,5051,5051,38,368,1
224,1003,1003,46,368,1
225,6547,6547,23,368,1
226,6064,6064,31,368,1
227,2272,2272,37,368,1
228,996,996,27,368,1
229,3996,3996,32,368,1
230,1115,1115,36,368,1
231,4186,4186,30,368,1
232,630,630,30,368,0
233,6510,6510,38,368,1
234,1535,1535,31,368,1
235,180,180,35,368,1
236,1534,1534,33,368,0
237,2504,2504,45,368,1
238,4143,4143,40,368,1
239,4738,4738,27,368,1
240,1179,1179,30,368,1
241,376,376,27,368,1
242,2249,2249,19,368,1
243,3222,3222,30,368,1
244,5593,5593,28,368,1
245,5782,5782,18,368,1
246,3190,3190,34,368,1
247,4535,4535,31,368,1
248,6519,6519,24,366,1
249,6494,6494,20,335,1
250,1670,1670,28,312,1
251,4148,4148,33,299,1
252,160,160,24,876,1
253,4849,4849,37,876,1
254,247,247,35,876,1
255,5587,5587,34,876,1
256,3960,3960,27,876,1
257,4904,4904,33,876,1
258,4796,4796,41,876,1
259,4408,4408,24,876,1
260,3990,3990,25,876,1
261,4441,4441,29,876,1
262,6019,6019,20,876,1
263,3602,3602,34,876,1
264,2493,2493,27,876,1
265,481,481,27,876,1
266,49,49,25,876,1
267,472,472,29,876,1
268,3170,3170,26,876,1
269,5327,5327,31,876,1
270,5271,5271,35,876,1
271,2295,2295,32,876,1
272,3961,3961,24,876,1
273,3930,3930,40,876,1
274,4537,4537,29,876,1
275,3359,3359,28,876,1
276,426,426,26,876,1
277,5865,5865,29,876,1
278,5773,5773,31,876,1
279,4536,4536,34,876,1
280,6375,6375,24,876,1
281,4140,4140,32,876,1
282,1892,1892,32,876,1
283,2997,2997,44,876,1
284,4191,4191,27,857,1
285,2435,2435,34,493,1
286,4294967295,65535,65535,245,0
287,4294967295,65535,65535,95,0
288,4872,4872,18,338,1
289,4197,4197,21,338,0
290,947,947,35,338,1
291,5444,5444,41,338,1
292,6467,6467,22,338,1
293,5746,5746,35,338,1
294,2683,2683,39,338,1
295,176,176,37,338,1
296,3311,3311,33,338,1
297,1362,1362,28,338,1
298,4871,4871,40,338,1
299,4246,4246,39,338,1
300,1379,1379,34,338,1
301,3119,3119,30,338,1
302,1570,1570,29,338,1
303,5736,5736,28,338,1
304,391,391,22,338,1
305,2206,2206,27,338,1
306,2181,2181,34,338,1
307,2654,2654,31,338,1
308,3596,3596,31,338,1
309,721,721,32,338,1
310,140,140,30,338,1
311,5332,5332,29,338,1
312,3340,3340,30,338,1
313,5569,5569,25,338,1
314,3685,3685,21,338,1
315,874,874,28,338,1
316,1999,1999,23,338,1
317,906,906,37,338,1
318,205,205,24,338,1
319,1112,1112,51,338,1
320,626,626,34,338,1
321,810,810,30,325,1
322,890,890,33,321,0
323,3167,3167,25,313,1
324,6563,6563,31,370,1
325,2644,2644,31,370,1
326,35,35,31,370,1
327,5919,5919,31,370,1
328,5702,5702,41,370,1
329,3760,3760,38,370,1
330,4594,4594,32,370,1
331,2234,2234,33,370,1
332,3117,3117,30,370,1
333,4427,4427,28,370,1
334,2920,2920,33,370,1
335,2924,2924,40,370,1
336,4158,4158,35,370,1
337,3789,3789,35,370,1
338,5267,5267,41,370,1
339,455,455,38,370,1
340,4184,4184,39,370,1
341,6498,6498,28,370,1
342,2378,2378,37,370,1
343,3809,3809,31,370,1
344,1637,1637,28,370,1
345,1914,1914,32,370,1
346,4525,4525,40,370,1
347,2099,2099,35,370,1
348,5091,5091,29,370,1
349,4996,4996,43,370,1
350,1584,1584,46,370,1
351,3588,3588,29,370,1
352,460,460,35,370,1
353,4900,4900,27,370,1
354,4931,4931,36,370,1
355,4542,4542,28,370,1
356,3122,3122,34,367,1
357,4567,4567,36,343,1
358,102,102,34,317,1
359,2802,2802,38,305,1
360,2539,2539,21,831,1
361,3973,3973,28,831,1
