Test Summary
Block per die: ,200
Total VB (single unit) pages: ,36
Total Pages: ,7200
OP Size: ,14
Host write range: ,6315
Total Erase Count is: ,6729
Max Erase Count: ,36
Min Erase Count: ,0
Avg Erase Count: ,33.645000
Total GC Count is: ,0
Total Segmental GC Count is: ,0
Total WL Count is: ,1175
WAF is: ,1.204391

VB No,Valid Count,Erase Count
413,3041,3041,1,36,1
414,3042,3042,1,36,1
415,3043,3043,1,36,1
416,3044,3044,1,36,1
417,3045,3045,1,36,1
418,3046,3046,1,36,1
419,3047,3047,1,36,1
420,3048,3048,1,36,1
421,3049,3049,1,36,1
422,3050,3050,1,36,1
423,3051,3051,1,36,1
424,3052,3052,1,36,1
425,3053,3053,1,36,1
426,3054,3054,1,36,1
427,3055,3055,1,36,1
428,3056,3056,1,36,1
429,3057,3057,1,36,1
430,3058,3058,1,36,1
431,3059,3059,1,35,1
432,1872,1872,1,35,1
433,1873,1873,1,35,1
434,1874,1874,1,35,1
435,1875,1875,1,35,1
436,1876,1876,1,35,1
437,1877,1877,1,35,1
438,1878,1878,1,35,1
439,1879,1879,1,35,1
440,1880,1880,1,35,1
441,1881,1881,1,35,1
442,1882,1882,1,35,1
443,1883,1883,1,35,1
444,1884,1884,1,35,1
445,1885,1885,1,35,1
446,1886,1886,1,35,1
447,1887,1887,1,35,1
448,1888,1888,1,35,1
449,1889,1889,1,35,1
450,1890,1890,1,35,1
451,1891,1891,1,35,1
452,1892,1892,1,35,1
453,1893,1893,1,35,1
454,1894,1894,1,35,1
455,1895,1895,1,35,1
456,1896,1896,1,35,1
457,1897,1897,1,35,1
458,1898,1898,1,35,1
459,1899,1899,1,35,1
460,1900,1900,1,35,1
461,1901,1901,1,35,1
462,1902,1902,1,35,1
463,1903,1903,1,35,1
464,1904,1904,1,35,1
465,1905,1905,1,35,1
466,1906,1906,1,35,1
467,1907,1907,1,35,1
468,4294967295,65535,65535,36,0
469,4294967295,65535,65535,36,0
470,4294967295,65535,65535,36,0
471,4294967295,65535,65535,36,0
472,4294967295,65535,65535,36,0
473,4294967295,65535,65535,36,0
474,4294967295,65535,65535,36,0
475,4294967295,65535,65535,36,0
476,4294967295,65535,65535,36,0
477,4294967295,65535,65535,36,0
478,4294967295,65535,65535,36,0
479,4294967295,65535,65535,36,0
480,4294967295,65535,65535,36,0
481,4294967295,65535,65535,36,0
482,4294967295,65535,65535,36,0
483,4294967295,65535,65535,36,0
484,4294967295,65535,65535,36,0
485,4294967295,65535,65535,36,0
486,4294967295,65535,65535,36,0
487,4294967295,65535,65535,36,0
488,4294967295,65535,65535,36,0
489,4294967295,65535,65535,36,0
490,4294967295,65535,65535,36,0
491,4294967295,65535,65535,36,0
492,4294967295,65535,65535,36,0
493,4294967295,65535,65535,36,0
494,4294967295,65535,65535,36,0
495,4294967295,65535,65535,36,0
496,4294967295,65535,65535,36,0
497,4294967295,65535,65535,36,0
498,4294967295,65535,65535,36,0
499,4294967295,65535,65535,36,0
500,4294967295,65535,65535,36,0
501,4294967295,65535,65535,36,0
502,4294967295,65535,65535,36,0
503,4294967295,65535,65535,36,0
504,2592,2592,1,34,1
505,2593,2593,1,34,1
506,2594,2594,1,34,1
507,2595,2595,1,34,1
508,2596,2596,1,34,1
509,2597,2597,1,34,1
510,2598,2598,1,34,1
511,2599,2599,1,34,1
512,2600,2600,1,34,1
513,2601,2601,1,34,1
514,2602,2602,1,34,1
515,2603,2603,1,34,1
516,2604,2604,1,34,1
517,2605,2605,1,34,1
518,2606,2606,1,34,1
519,2607,2607,1,34,1
520,2608,2608,1,34,1
521,2609,2609,1,34,1
522,2610,2610,1,34,1
523,2611,2611,1,34,1
524,2612,2612,1,34,1
525,2613,2613,1,34,1
526,2614,2614,1,34,1
527,2615,2615,1,34,1
528,2616,2616,1,34,1
529,2617,2617,1,34,1
530,2618,2618,1,34,1
531,2619,2619,1,34,1
532,2620,2620,1,34,1
533,2621,2621,1,34,1
534,2622,2622,1,34,1
535,2623,2623,1,34,1
536,2624,2624,1,34,1
537,2625,2625,1,34,1
538,2626,2626,1,34,1
539,2627,2627,1,34,1
540,216,216,1,35,1
541,217,217,1,35,1
542,218,218,1,35,1
543,219,219,1,35,1
544,220,220,1,35,1
545,221,221,1,35,1
546,222,222,1,35,1
547,223,223,1,35,1
548,224,224,1,35,1
549,225,225,1,35,1
550,226,226,1,35,1
551,227,227,1,35,1
552,228,228,1,35,1
553,229,229,1,35,1
554,230,230,1,35,1
555,231,231,1,35,1
556,232,232,1,35,1
557,233,233,1,35,1
558,234,234,1,35,1
559,235,235,1,35,1
560,236,236,1,35,1
561,237,237,1,35,1
562,238,238,1,35,1
563,239,239,1,35,1
564,240,240,1,35,1
565,241,241,1,35,1
566,242,242,1,35,1
567,243,243,1,35,1
568,244,244,1,35,1
569,245,245,1,35,1
570,246,246,1,35,1
571,247,247,1,35,1
572,248,248,1,35,1
573,249,249,1,35,1
574,250,250,1,35,1
575,251,251,1,35,1
576,5184,5184,1,37,1
577,5185,5185,1,37,1
578,5186,5186,1,37,1
579,5187,5187,1,37,1
580,5188,5188,1,37,1
581,5189,5189,1,37,1
582,5190,5190,1,37,1
583,5191,5191,1,37,1
584,5192,5192,1,37,1
585,5193,5193,1,37,1
586,5194,5194,1,37,1
587,5195,5195,1,37,1
588,5196,5196,1,37,1
589,5197,5197,1,37,1
590,5198,5198,1,37,1
591,5199,5199,1,37,1
592,5200,5200,1,37,1
593,5201,5201,1,37,1
594,5202,5202,1,37,1
595,5203,5203,1,37,1
596,5204,5204,1,37,1
597,5205,5205,1,37,1
598,5206,5206,1,37,1
599,5207,5207,1,37,1
600,5208,5208,1,37,1
601,5209,5209,1,37,1
602,5210,5210,1,37,1
603,5211,5211,1,37,1
604,5212,5212,1,37,1
605,5213,5213,1,37,1
606,5214,5214,1,37,1
607,5215,5215,1,37,1
608,5216,5216,1,37,1
609,5217,5217,1,37,1
