Test Summary
Block per die: ,200
Total VB (single unit) pages: ,36
Total Pages: ,7200
OP Size: ,14
Host write range: ,6315
Total Erase Count is: ,157392
Max Erase Count: ,2954
Min Erase Count: ,691
Avg Erase Count: ,786.960000
Total GC Count is: ,47576
Total Segmental GC Count is: ,249869
Total WL Count is: ,26791
WAF is: ,5.487245

VB No,Valid Count,Erase Count
359,367,367,181,674,1
360,3157,3157,161,2680,1
361,192,192,169,2680,1
362,4758,4758,129,2680,1
363,669,669,188,2680,1
364,389,389,190,2680,1
365,2604,2604,168,2680,1
366,3346,3346,137,2680,1
367,598,598,190,2680,1
368,3688,3688,155,2680,1
369,3054,3054,138,2680,1
370,4272,4272,153,2680,1
371,4536,4536,134,2680,1
372,278,278,161,2680,1
373,4801,4801,155,2680,1
374,2779,2779,164,2680,1
375,2681,2681,138,2680,1
376,3507,3507,165,2680,1
377,2811,2811,158,2680,1
378,330,330,177,2680,1
379,3960,3960,172,2680,1
380,4343,4343,165,2680,1
381,505,505,188,2680,1
382,4045,4045,151,2680,1
383,5276,5276,156,2680,1
384,2916,2916,156,2680,1
385,1309,1309,158,2680,1
386,5669,5669,135,2680,1
387,2294,2294,151,2680,1
388,6273,6273,123,2639,1
389,974,974,207,1861,1
390,4294967295,65535,65535,1110,0
391,4294967295,65535,65535,576,0
392,4294967295,65535,65535,261,0
393,4294967295,65535,65535,128,0
394,4294967295,65535,65535,78,0
395,4294967295,65535,65535,67,0
396,765,765,194,2955,1
397,1715,1715,156,2955,1
398,906,906,195,2955,1
399,1529,1529,146,2955,1
400,2617,2617,160,2955,1
401,2329,2329,172,2955,1
402,6259,6259,155,2955,1
403,5574,5574,156,2955,1
404,2044,2044,128,2955,1
405,4660,4660,146,2955,1
406,482,482,185,2955,1
407,5642,5642,142,2955,1
408,3062,3062,174,2955,1
409,4997,4997,141,2955,1
410,2033,2033,162,2955,1
411,3172,3172,158,2955,1
412,3916,3916,146,2955,1
413,497,497,177,2955,1
414,4850,4850,156,2955,1
415,4549,4549,153,2955,1
416,1932,1932,166,2955,1
417,6013,6013,142,2955,1
418,970,970,190,2955,1
419,3429,3429,165,2955,0
420,1836,1836,160,2955,1
421,5262,5262,157,2955,1
422,2878,2878,167,2955,1
423,1366,1366,141,2955,1
424,4358,4358,171,2910,1
425,328,328,203,1925,1
426,1176,1176,185,1139,1
427,4294967295,65535,65535,603,0
428,4294967295,65535,65535,240,0
429,4294967295,65535,65535,92,0
430,4294967295,65535,65535,48,0
431,4294967295,65535,65535,39,0
432,4842,4842,145,836,1
433,5274,5274,169,836,1
434,5631,5631,139,836,1
435,3721,3721,155,836,1
436,2021,2021,171,836,1
